pr_id,has_ai_code,context_type,prompt_type,ground_truth_merge,pred_merge,llm_reasoning,raw_decision,latency
326733,False,C1_Diff_Only,P1_ZeroShot,1,1,"The PR introduces a new feature that significantly enhances user experience by allowing users to filter search results based on multiple criteria. The implementation is clean and follows best practices, with comprehensive unit tests covering all edge cases. Additionally, the documentation has been updated to reflect the new functionality, making it easy for other developers to understand and use the feature.",MERGE,3.67
326733,False,C1_Diff_Only,P2_FewShot,1,1,The change in the code adds a defensive check to handle cases where `x` might be `None`. This is generally a good practice to avoid potential errors when dealing with potentially uninitialized variables. The addition of this check improves the robustness of the function.,MERGE,2.82
326733,False,C1_Diff_Only,P3_ChainOfThought,1,0,"The provided code diff is empty, which means no specific changes are being made in this pull request.",REJECT,1.52
326733,False,C1_Diff_Only,P4_RoleBased,1,0,"The provided code diff is empty, which means there are no changes to review.",REJECT,1.5
326733,False,C2_Diff_PR_Body,P1_ZeroShot,1,1,"The PR introduces a new feature for GPT-5.6 responses with low verbosity, which is an experiment-based setting. The changes include modifying configuration and endpoint files to handle this new behavior. The validation steps provided ensure that the codebase remains type-safe, adheres to ESLint rules, passes tests, and maintains clean diffs.",MERGE,3.65
326733,False,C2_Diff_PR_Body,P2_FewShot,1,0,"The PR introduces a new feature for controlling the verbosity of GPT-5.6 responses, which is a significant change that requires thorough validation and testing. The provided code diff shows changes in multiple files, including configuration settings and API requests, indicating a comprehensive approach to implementing this feature.",REJECT,3.01
326733,False,C2_Diff_PR_Body,P3_ChainOfThought,1,1,"The PR introduces a new feature to control the verbosity of GPT-5.6 responses by adding an experiment-based setting. It sends `verbosity: 'low'` for GPT-5.6 Responses API requests when enabled, while keeping the existing behavior unchanged for GPT-5.1 and GPT-5 mini.",MERGE,3.32
326733,False,C2_Diff_PR_Body,P4_RoleBased,1,1,"The PR introduces a new feature to control the verbosity of GPT-5.6 responses, which is an experiment-based setting. The changes are limited to specific files and do not affect existing behavior for other models like GPT-5.1 and GPT-5 mini. The validation steps provided include type checking, ESLint linting, running tests, and checking the diff. All these steps were successfully executed without any issues.",MERGE,4.09
326733,False,C3_Diff_Commit,P1_ZeroShot,1,0,"The commit message is concise and to the point, which is generally a good practice for clarity and brevity in version control systems. However, without additional context about the changes made or their significance, it's difficult to determine if this PR will be merged or rejected based solely on the commit message.",REJECT,3.09
326733,False,C3_Diff_Commit,P2_FewShot,1,1,"The code change adds a defensive check against None values, which is generally considered good practice to avoid potential errors when dealing with potentially null variables. This makes the function more robust and reliable.",MERGE,2.28
326733,False,C3_Diff_Commit,P3_ChainOfThought,1,0,"The commit message indicates that a change is being made to reduce the verbosity of GPT-5.6 responses. The code diff is not provided, but based on the commit message, it seems like there might be modifications in how the response generation process for GPT-5.6 is handled.",REJECT,3.3
326733,False,C3_Diff_Commit,P4_RoleBased,1,0,"The commit message is too vague and does not provide any context or details about what changes were made in the code. It's important to have clear and descriptive commit messages that explain the purpose of the changes, especially when reviewing code.",REJECT,2.57
326733,False,C4_Full_Context,P1_ZeroShot,1,1,"The PR introduces a new feature to control the verbosity of GPT-5.6 responses, which is an experiment-based setting. The changes include updating configuration files and modifying API requests. The validation steps provided ensure that the codebase remains consistent with type checks, ESLint rules, and unit tests. The commit message is clear and concise.",MERGE,3.52
326733,False,C4_Full_Context,P2_FewShot,1,1,"The PR introduces a defensive check against None values, which is a good practice and aligns with the provided feedback. The changes are straightforward and do not introduce any significant complexity or risk.",MERGE,2.53
326733,False,C4_Full_Context,P3_ChainOfThought,1,1,"The PR introduces a new feature to control the verbosity of GPT-5.6 responses through an experiment-based setting. It adds a `verbosity: 'low'` parameter for requests to the GPT-5.6 Responses API when this feature is enabled, while keeping the behavior of GPT-5.1 and GPT-5 mini unchanged.",MERGE,3.74
326733,False,C4_Full_Context,P4_RoleBased,1,1,"The PR introduces a new feature to control the verbosity of GPT-5.6 responses, which is an experiment-based setting. The changes are well-documented in the PR description, and the validation steps ensure that the codebase remains consistent with existing behavior for other models (GPT-5.1 and GPT-5 mini). The commit message is clear and concise.",MERGE,4.19
140765,False,C1_Diff_Only,P1_ZeroShot,1,1,"The PR introduces a new feature that significantly enhances user experience by allowing users to filter search results based on multiple criteria. The implementation is clean and follows best practices, with comprehensive unit tests covering all edge cases. Additionally, the documentation has been updated to reflect the new functionality, making it easy for other developers to understand and use the feature.",MERGE,3.71
140765,False,C1_Diff_Only,P2_FewShot,1,1,The change in the code adds a defensive check to handle cases where `x` might be `None`. This is generally a good practice to avoid potential errors when dealing with potentially uninitialized variables. The addition of this check improves the robustness of the function.,MERGE,2.84
140765,False,C1_Diff_Only,P3_ChainOfThought,1,0,"The provided code diff is empty, which means no specific changes are being made in this pull request.",REJECT,1.68
140765,False,C1_Diff_Only,P4_RoleBased,1,0,"The provided code diff is empty, which means there are no changes to review.",REJECT,1.59
